@relation futbol
@attribute qEquiposLiga real
@attribute qEquiposMundial real
@attribute posLigaLocal real
@attribute puntosLocal real
@attribute plantillaLocal real
@attribute capacidadEstadioLocal real
@attribute posiciónRankingLocal real
@attribute rojasLocal real
@attribute golesFavorLocal real
@attribute golesEncajadosLocal real
@attribute partidosMesLocal real
@attribute promEdadLocal real
@attribute posLigaVisita real
@attribute puntosVisita real
@attribute plantillaVisita real
@attribute capacidadEstadioVisita real
@attribute posiciónRankingVisita real
@attribute rojasVisita real
@attribute golesFavorVisita real
@attribute golesEncajadosVisita real
@attribute partidosMesVisita real
@attribute promEdadVisita real
@attribute resultado {L, E, V}
@data
1.0000,0.9515,0.6842,0.8000,0.2195,0.3987,0.9464,1.0000,0.6818,0.2500,0.3846,0.4318,0.4211,0.1333,0.1818,0.2176,0.8089,1.0000,0.0870,0.6000,0.2500,0.4441,V
1.0000,0.9515,0.5263,0.2000,0.2195,0.3987,0.9114,1.0000,0.3182,0.6250,0.2308,0.4318,0.0526,0.2667,0.2121,0.1758,0.2028,1.0000,0.1739,0.8667,0.2500,0.4274,V
1.0000,0.8458,0.4737,0.2667,0.2195,0.3987,0.9301,0.5000,0.3636,0.6250,0.3077,0.4318,0.2632,0.3333,0.2424,0.2824,0.0816,1.0000,0.1739,0.4667,0.0833,0.8338,L
1.0000,0.9515,0.5263,0.8667,0.2195,0.3987,0.9301,1.0000,0.6818,0.5000,0.3846,0.4318,0.7895,0.2667,0.3030,0.3903,0.4406,1.0000,0.3043,0.6000,0.3333,0.3003,V
1.0000,0.8458,0.5263,0.6667,0.2195,0.3987,0.9301,1.0000,0.5909,0.4375,0.3846,0.4318,0.0526,0.2000,0.3333,0.2318,0.0816,1.0000,0.1304,0.8000,0.2500,0.6634,L
1.0000,0.9515,0.6316,0.4667,0.2195,0.3987,0.9044,0.5000,0.4545,0.4375,0.4615,0.4318,0.0000,0.0667,0.2424,0.3383,0.0909,1.0000,0.2609,0.9333,0.1667,0.6383,E
1.0000,0.9515,0.6316,0.1333,0.2195,0.3987,0.9044,1.0000,0.2727,0.6250,0.3077,0.4318,0.4211,0.2000,0.3333,0.2761,0.0909,1.0000,0.1739,0.6000,0.1667,0.6676,L
1.0000,0.9515,0.6842,0.4667,0.2195,0.3987,0.9277,1.0000,0.3182,0.4375,0.3846,0.4318,0.1579,0.4000,0.3030,0.2374,0.7879,1.0000,0.2174,0.2667,0.1667,0.5070,L
1.0000,0.9515,0.6316,0.6667,0.2195,0.3987,0.9277,1.0000,0.3182,0.2500,0.3077,0.4318,1.0000,1.0000,0.4545,1.0000,0.9977,1.0000,0.4348,0.1333,0.3333,0.3464,E
1.0000,0.9515,0.6842,0.5333,0.2195,0.3987,0.9114,1.0000,0.3182,0.3125,0.0769,0.4318,0.1579,0.4667,0.2424,0.3285,0.2960,0.5000,0.2609,0.2000,0.0833,0.5447,L
1.0000,0.9515,0.7368,0.5333,0.2195,0.3987,0.9114,1.0000,0.3182,0.3125,0.0769,0.4318,0.8421,0.6000,0.0000,0.2538,0.9860,1.0000,0.3913,0.5333,0.2500,0.4385,L
1.0000,0.9515,0.7895,0.6667,0.2195,0.3987,0.8811,1.0000,0.4091,0.3750,0.1538,0.4318,0.9474,0.4667,0.2727,0.8073,0.9977,0.5000,0.4348,0.6000,0.5000,0.3352,V
1.0000,0.8590,0.7368,0.4000,0.2195,0.3987,0.8811,0.5000,0.3636,0.7500,0.2308,0.4318,0.3684,0.6000,0.1515,0.3034,0.0746,1.0000,0.3043,0.5333,0.2500,0.5140,L
1.0000,0.9515,0.5263,0.4667,0.1463,0.1817,0.8182,1.0000,0.2273,0.4375,0.3077,0.4033,0.6316,0.4667,0.3333,0.2761,0.1911,1.0000,0.2174,0.2000,0.1667,0.6676,L
1.0000,0.9515,0.5789,0.2000,0.1463,0.1817,0.8182,1.0000,0.1818,0.3125,0.2308,0.4033,0.4211,0.3333,0.3030,0.2374,0.1911,1.0000,0.2609,0.4667,0.0833,0.5070,L
1.0000,0.9515,0.5263,0.2667,0.1463,0.1817,0.8089,1.0000,0.1818,0.5000,0.3077,0.4033,0.9474,0.8667,0.4545,1.0000,1.0000,1.0000,0.5217,0.0667,0.4167,0.3464,V
