@relation SISPPAFUT
@attribute qEquiposLiga numeric
@attribute mes numeric
@attribute Local_PosLiga numeric
@attribute Local_Pts numeric
@attribute Local {True, False}
@attribute Local_PosRankMund numeric
@attribute Local_qExpulsados numeric
@attribute Local_qSuspendidos numeric
@attribute Local_GolesAnotados numeric
@attribute Local_GolesEncajados numeric
@attribute Local_PromEdad real
@attribute Local_qPartidosMes numeric
@attribute Visita_PosLiga numeric
@attribute Visita_Pts numeric
@attribute Visita {True, False}
@attribute Visita_PosRankMund numeric
@attribute Visita_qExpulsados numeric
@attribute Visita_qSuspendidos numeric
@attribute Visita_GolesAnotados numeric
@attribute Visita_GolesEncajados numeric
@attribute Visita_PromEdad real
@attribute Visita_qPartidosMes numeric
@attribute resultado {L, E, V}
@data
20,1,10,0,True,39,1,0,3,10,30.36,3,15,5,False,258,0,1,4,7,31.82,3,L
20,1,18,3,True,343,0,2,3,8,28.82,3,11,6,False,343,0,1,8,12,28.45,3,L
20,1,4,8,True,20,0,2,8,8,31.09,3,5,9,False,258,0,3,8,9,26.64,3,L
20,1,1,15,True,3,0,0,26,0,28.82,3,17,7,False,343,0,2,8,7,30.09,3,L
20,1,8,9,True,258,0,3,6,9,27.27,3,12,7,False,314,0,0,5,4,28.64,3,V
20,1,20,2,True,343,0,3,3,7,29.00,3,16,3,False,343,0,0,5,13,29.27,3,V
20,1,6,9,True,4,0,2,11,7,28.91,3,14,7,False,193,0,1,4,7,28.73,3,E
20,1,9,6,True,208,0,0,5,8,29.36,3,13,7,False,343,0,4,7,6,31.55,3,L
20,1,16,6,True,343,0,0,7,11,28.55,3,9,9,False,258,1,2,6,6,27.27,3,E
20,1,11,6,True,343,0,2,7,10,28.45,3,10,3,False,39,0,1,3,8,29.91,3,V
20,1,13,7,True,314,1,0,4,5,28.36,3,1,15,False,3,0,0,20,1,29.09,3,V
20,1,8,6,True,208,0,0,6,7,29.09,3,18,4,False,343,0,0,7,9,28.18,3,L
20,1,15,2,True,258,0,2,3,8,32.64,3,7,12,False,55,0,4,12,6,28.18,3,E
20,1,5,6,True,258,0,2,6,11,26.64,3,19,5,False,343,0,3,4,8,28.36,3,L
20,1,14,8,True,193,0,1,3,4,30.00,3,20,2,False,343,0,2,4,8,28.73,3,E
20,1,2,12,True,11,1,3,9,8,27.45,3,3,12,False,37,0,1,9,2,29.64,3,L
20,1,17,4,True,343,0,1,6,8,29.55,3,4,10,False,20,0,2,9,8,31.09,3,V
20,1,12,7,True,343,0,3,7,6,31.55,3,6,7,False,4,0,2,7,5,28.91,3,L
20,1,20,4,True,343,0,0,7,11,28.18,3,2,15,False,11,0,2,13,5,27.45,3,E
20,1,3,9,True,37,0,2,8,6,29.64,3,15,3,False,258,0,3,3,7,32.64,3,L
20,1,8,10,True,55,0,3,9,5,28.18,3,11,3,False,343,0,2,6,12,28.45,3,V
20,1,10,6,True,39,0,1,5,7,29.91,3,5,6,False,258,0,2,7,9,26.64,3,V
20,1,18,5,True,343,0,2,4,9,28.36,3,19,4,False,343,0,3,5,6,29.55,3,L
20,1,4,10,True,20,0,1,8,7,31.09,3,13,7,False,314,0,0,4,8,28.36,3,L
20,1,1,15,True,3,0,0,19,1,29.09,3,16,7,False,343,0,0,8,10,28.55,3,L
20,1,7,7,True,258,0,2,6,7,27.27,3,14,6,False,193,0,1,3,5,30.00,3,L
20,1,17,3,True,343,0,2,4,6,28.73,3,12,7,False,343,0,3,8,6,31.55,3,L
20,1,6,7,True,4,0,2,6,6,28.91,3,9,6,False,208,0,0,8,8,29.09,3,L
20,1,15,6,True,343,0,2,6,5,28.73,3,7,10,False,4,0,1,9,4,28.91,3,L
20,1,6,10,True,258,0,2,8,6,27.27,3,12,7,False,343,0,2,8,7,31.55,3,L
20,1,1,15,True,3,0,0,20,2,29.09,3,14,6,False,193,1,3,3,3,30.00,3,L
20,1,4,13,True,20,0,1,10,5,31.09,3,17,4,False,343,0,0,5,13,28.55,3,E
20,1,16,7,True,343,0,1,4,8,28.36,3,13,4,False,314,0,0,3,10,28.36,3,L
20,1,8,6,True,39,0,1,6,8,29.91,3,20,1,False,343,0,3,3,7,29.55,3,L
20,1,9,7,True,55,0,2,6,9,28.18,3,5,6,False,258,0,2,8,10,26.64,3,V
20,1,3,9,True,37,0,2,11,8,29.64,3,11,3,False,343,0,3,8,12,28.45,3,L
20,1,19,4,True,343,0,0,7,11,28.18,3,18,3,False,258,0,2,5,8,32.64,3,L
20,1,2,13,True,11,0,2,12,6,27.45,3,10,6,False,208,0,1,8,8,29.09,3,L
20,1,11,6,True,208,0,2,8,8,28.636363,4,14,8,False,343,0,2,6,4,28.727272,4,V
20,1,8,7,True,4,0,2,7,5,28.909090,4,6,10,False,258,0,2,9,5,27.272727,4,V
20,1,13,4,True,343,0,2,4,9,31.545454,4,1,15,False,3,0,0,18,2,29.090909,4,V
20,1,17,3,True,193,0,3,2,6,30.000000,4,4,13,False,20,0,1,7,2,31.090909,4,E
20,1,18,5,True,343,0,0,4,9,28.545454,4,15,10,False,343,0,0,4,5,28.090909,4,V
20,1,12,4,True,314,0,1,3,9,29.000000,4,7,9,False,39,0,1,9,6,29.909090,4,E
20,1,19,0,True,343,0,2,3,10,29.090909,4,10,4,False,55,0,2,6,12,28.181818,4,L
20,1,5,9,True,258,0,2,10,9,26.727272,4,3,12,False,37,0,2,13,8,29.636363,4,V
20,1,9,3,True,343,0,2,9,9,28.454545,4,20,4,False,343,0,0,7,12,27.727272,4,L
20,1,16,2,True,258,0,2,4,8,32.636363,4,2,13,False,11,0,3,10,5,27.454545,4,L
20,2,6,10,True,279,0,3,9,4,27.272727,4,14,10,False,391,0,2,8,4,28.727272,4,?
20,2,15,12,True,349,0,0,6,6,28.090909,4,17,3,False,321,0,2,3,7,30.000000,4,?
20,2,10,1,True,85,0,3,3,12,28.181818,4,12,4,False,321,0,1,5,11,29.000000,4,?
20,2,20,4,True,255,0,1,5,11,27.727272,4,5,9,False,255,0,3,10,5,26.727272,4,?
20,2,16,4,True,391,0,2,5,8,32.636363,4,11,6,False,294,0,5,8,8,28.636363,4,?
20,2,3,12,True,14,0,1,11,7,29.636363,4,19,3,False,391,0,3,4,8,29.090909,4,?
20,2,1,15,True,2,0,0,16,2,29.090909,4,8,4,False,18,0,3,4,7,28.909090,4,?
20,2,7,10,True,42,0,2,12,8,29.909090,4,18,5,False,391,0,0,5,8,28.545454,4,?
20,2,2,10,True,3,0,2,9,6,27.454545,4,9,6,False,391,0,2,10,7,28.454545,4,?
20,2,4,11,True,16,2,0,6,2,31.090909,4,13,3,False,391,1,4,4,12,31.545454,4,?
20,2,11,6,True,294,0,5,8,8,28.636363,4,6,10,False,279,0,3,9,4,27.272727,4,?
20,2,14,10,True,391,0,2,8,4,28.727272,4,1,15,False,2,0,0,16,2,29.090909,4,?
20,2,8,4,True,18,0,3,4,7,28.909090,4,4,11,False,16,2,0,6,2,31.090909,4,?
20,2,13,3,True,391,1,4,4,12,31.545454,4,15,12,False,349,0,0,6,6,28.090909,4,?
20,2,17,3,True,321,0,2,3,7,30.000000,4,7,10,False,42,0,2,12,8,29.909090,4,?
20,2,18,5,True,391,0,0,5,8,28.545454,4,10,1,False,85,0,3,3,12,28.181818,4,?
20,2,12,4,True,321,0,1,5,11,29.000000,4,3,12,False,14,0,1,11,7,29.636363,4,?
20,2,19,3,True,391,0,3,4,8,29.090909,4,20,4,False,255,0,1,5,11,27.727272,4,?
20,2,5,9,True,255,0,3,10,5,26.727272,4,2,10,False,3,0,2,9,6,27.454545,4,?
20,2,9,6,True,391,0,2,10,7,28.454545,4,16,4,False,391,0,2,5,8,32.636363,4,?
20,2,1,15,True,2,0,0,16,2,29.090909,4,6,10,False,279,0,3,9,4,27.272727,4,?
20,2,4,11,True,16,2,0,6,2,31.090909,4,14,10,False,391,0,2,8,4,28.727272,4,?
20,2,15,12,True,349,0,0,6,6,28.090909,4,8,4,False,18,0,3,4,7,28.909090,4,?
20,2,7,10,True,42,0,2,12,8,29.909090,4,13,3,False,391,1,4,4,12,31.545454,4,?
